tweets,likes,time
@PizzaFacts2go Read Sun Tzu's new work: Sun Tzu's The Art of war (by Sun Tzu),1,2021-07-08 13:35:58
"@BrianFeroldi Here are actual books to read instead of the capitalist claptrap you just pinched off:
Dune - Frank Herbert
Treasure Island - Robert Louis Stevenson
The Art of War - Sun Tzu
The Last Church - Graham MacNeil
The Three-Body Problem - Cixin Liu
The Heart of Darkness - J. Konrad",0,2021-07-08 12:52:59
@tennisfanv3 It must really gets to Levin that H &amp;M can practice the Art of War!,2,2021-07-08 12:36:56
I've worked with some very successful business people and they don't tend to read much of this stuff. They certainly don't recommend such books. They stick to the classics: 'The Art of War' and 'The Prince'.,0,2021-07-08 12:18:04
"@Bob73596333 All in, “who wishes to fight must first count the cost” 
Sun Tzu, The Art of War",0,2021-07-08 12:02:36
"@WCCO I hope there is another venue for the Art Fair.  ""In the midst of chaos, there is also opportunity.""  ""The ART of War,""  Sun Tzu.",0,2021-07-08 11:58:33
"Minor thing I'm annoyed by: Why does everyone say ""Art of war by Sun Tzu""?

We all know who wrote the art of war!

Unless there's another book by the same name that I don't know of, feels a little bit redundant.",3,2021-07-08 11:50:48
@ryanfisher122 @DanBondo1 @thehill @TheHillOpinion Read the Art of War. It’s pretty woke.,2,2021-07-08 11:35:27
@SJosephBurns The Art of War.,3,2021-07-08 11:34:44
By definition the Art of War is being woke. Who are these morons the hill keep publishing. https://t.co/hMSJSYbuxQ,0,2021-07-08 11:34:13
@ryanfisher122 @thehill @TheHillOpinion I served and maybe you should read the art of war. China is woke they just do not have anti intellectual morons attacking awareness in there ranks.,15,2021-07-08 11:33:21
"ART OF WAR

The Vikings demonstrated the speed, surprise and shock that is part of blitzkrieg or the art of war - and were effective in the art of war at the strategic level, alternating between combat and more peaceful means of political conquest or settlement",1,2021-07-08 11:32:03
@Chainwring Kelas set dio boh..The Art of War 🤪🤪🤪,0,2021-07-08 10:58:45
The worst thing about being in business-performance oriented industries is having to hear mfs in my network missquote the Art of War all the fucking time. It's time to stop.,0,2021-07-08 10:42:57
also i really wanna read the art of war i really like reading about war and fighting i think it’s very euphoric in some ways,0,2021-07-08 10:26:23
"S1:E4 ""The Art of War""

Mannnn those press conferences with both Renault and Redbull were cringe and awkward holy hell!

Can you imagine if other Major athletic sports did that? 👀😂😂 https://t.co/mSuZCsi3X1",0,2021-07-08 09:02:52
always trying to force you into reading the art of war because it “changed his life” fuck off mate https://t.co/UZFjUZXpQX,1,2021-07-08 08:20:26
"The above post is a quote from a VERY, wise person!
Sun Tzu. He wrote the book: ""The Art of War.""
NONE of Trump's tactics have changed in all the years he's been around.
Get to know his tactics! If you don't recognize them, by now. Read! He's NOT finished using them on you!🤦‍♂️🙄 https://t.co/m6z5O8NFX6",1,2021-07-08 08:16:00
@Jukuju_ Julius Malema masters the art of war and the 48 laws of power.,0,2021-07-08 08:06:41
"The art of war from ANC current administration factions is all about crippling comrades who are not on their sides, and also sending strong message to those who wanna fight to be silent, as their skeltons will be used against them💔💔💔",0,2021-07-08 07:53:11
@defonotcmack omg i was gonna read the art of war,1,2021-07-08 07:46:50
"❝If it’s not too much of a pain, will you can read me The Art of War until I fall asleep?❞ https://t.co/aFd6eraNse",0,2021-07-08 07:39:13
@socialismtrain @hillmont_drive LOL quoting the art of war,1,2021-07-08 07:23:30
"@Iwantmytrain @viewsfromthekid @rezimusta @conspiracyb0t Yup, the art of war by sun tzu also had a few quotes about that",1,2021-07-08 07:13:43
&amp; also Sun Tzu's The Art Of War. https://t.co/GnwI4dMqs5,1,2021-07-08 06:58:00
@pandop @maryellen_reads I was actually really surprised The Art of War wasn't present.,2,2021-07-08 06:40:06
THE ART OF WAR PUNKS,1,2021-07-08 06:36:45
"Sun Tzu's The Art of War: Why Ford is in deep trouble

""If you know the enemy and you know yourself, you need not fear the result of a hundred battles.""

Well, Ford's @mrlevine just proved tonight that Ford does not know his most important competitor, Tesla. $TSLA https://t.co/XpRDcBnZXK",58,2021-07-08 06:27:54
@TheTwilightZon9 @sumthink One can communicate through music... weaponize their own system against them ;) .. the art of war,1,2021-07-08 06:20:13
The most misunderstood element of The Art of War. https://t.co/Rd8HS9jn7P,0,2021-07-08 06:07:28
