tweets,likes,time
RT @TheWallisBH: GRoW @ Wallis in association with Dahm Theatre Arts is thrilled to present the Community Book Reading Project’s brand-new…,0,2021-07-08 20:32:09
Cyber-Thief Invention (Part 1) is the highest selling book since The Lord of the Rings!,0,2021-07-08 20:30:40
RT @TheWallisBH: GRoW @ Wallis in association with Dahm Theatre Arts is thrilled to present the Community Book Reading Project’s brand-new…,0,2021-07-08 20:24:57
RT @TheWallisBH: GRoW @ Wallis in association with Dahm Theatre Arts is thrilled to present the Community Book Reading Project’s brand-new…,0,2021-07-08 20:23:11
Cyber-Thief Invention (Part 1) is the highest selling book since Steps to Christ!,0,2021-07-08 20:20:34
"@AlwaysLearnWeb @AVisserFuray @Team_English1 Love it! Some of those are hefty though. Going by my experience this year, we would still be reading The Book Thief when they got to Year 11 😬 Obviously you could have a lot more time in tutor time for reading than we do.",2,2021-07-08 20:14:13
Okay I know pride and prejudice won but I feel like rereading The Book Thief because I read it when I was like 14 so I think I’d be able to appreciate it better now https://t.co/B8WwsYb2pQ,1,2021-07-08 20:06:51
"So instead I have Sigur Ros on the Good Headphones and am reading The Book Thief for the third time.

All in all, not a bad alternative. But still, my iPad is looking at me, judging me.",0,2021-07-08 20:01:51
"GRoW @ Wallis in association with Dahm Theatre Arts is thrilled to present the Community Book Reading Project’s brand-new audio series! Join us for a reading of Maurice Leblanc’s classic stories in the Arsène Lupin, Gentleman-Thief series.

Listen now: https://t.co/8XwOfFJj0B https://t.co/Vq68sMm68M",1,2021-07-08 20:01:02
"@RuthieR Terrific book as is the next one Cilka's Journey ....also if you haven't already , try The Book Thief",0,2021-07-08 20:00:51
Cyber-Thief Invention (Part 1) is the highest selling book since Harry Potter!,0,2021-07-08 20:00:43
"GRoW @ Wallis in association with Dahm Theatre Arts is thrilled to present the Community Book Reading Project’s brand-new audio series! Join us for a reading of Maurice Leblanc’s classic stories in the Arsène Lupin, Gentleman-Thief series.

Listen now: https://t.co/8XwOfFJj0B https://t.co/Us2LgANoY7",1,2021-07-08 19:52:59
"'He's f---ed up everything': Trump exploded at his campaign manager over low turnout at a rally, a new book says https://t.co/kTSmzoibvZ via @YahooNews Look in the mirror Cheeto at the cause of ALL your problems!! Grifter and Thief!!!",1,2021-07-08 19:47:49
"Trump once told a caller that Rudy Giuliani drank too much, was a loose cannon, and said 'a lot of s---' that wasn't true, new book says https://t.co/fwmZ1xCVIE via @YahooNews How dare the Cheeto speak of HIS lawyer this way!! The grifter and thief at work back stabbing again.",1,2021-07-08 19:40:54
"Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day. [Markus Zusak, The Book Thief]",1,2021-07-08 19:36:48
"@EdanClay The Book Thief 
Song of Ice and Fire
The Alienist/Angel of Darkness",0,2021-07-08 19:36:45
"in truth, i think he was afraid. rudy steiner was scared of the book thief's kiss. he must have longed for it so much. he must have loved her so incredibly hard. so hard that he would never ask for her lips again and would go to his grave without them.",2,2021-07-08 19:19:17
Do you struggle picking out what book to read next? Why don't you try: The book Thief. Check back in an hour for more recommendations.,0,2021-07-08 19:15:05
#Win $15 GC #BookTour #Giveaway #BookBoost #Historical #Fiction #TheAlchemyThief #PiratesAndPuritans @RADennyAuthor https://t.co/YeJFiAg4Av,0,2021-07-08 18:47:54
"@dwivivivi The book thief by Markus Zusak
Any of the Dan Brown books
A thousand splendid suns by Khaled Hosseini
The kite runner by Khaled Hosseini
The krishna key
These are all fiction

As for non-fiction:
Man's search for meaning
Wings of fire
Attitude is everything",2,2021-07-08 18:20:34
#Win $15 GC #BookTour #Giveaway #BookBoost #Historical #Fiction #TheAlchemyThief #PiratesAndPuritans @RADennyAuthor https://t.co/bbF8BuvlIN,0,2021-07-08 17:44:35
"RT @BBMorgan_W: @A_DiAngelo Book 1 of my YA Fantasy series, where thief Juniper enters the deadliest con of her life: posing as the crown p…",0,2021-07-08 17:40:03
I was 13 and it was a self-insert fic for the Thief Lord book/movie cause I had a huge crush on Scipio 😅 https://t.co/hu5W9Tc8gl,1,2021-07-08 17:38:15
"@laurenboebert How green with jealousy are you guys? If your golden idol wasn't a thief and a con artist, you would be able to see that your idol also lives in the world of private jets.  Be silent and read a book!",0,2021-07-08 17:37:02
ONCE A THIEF wasn't the first time Delon was in a film based on a Zekial Marko book. Two years earlier Delon starred with Jean Gabin in ANY NUMBER CAN WIN (1963) which was an adaptation of Marko's heist novel THE BIG GRAB written under his pen name John Trinian. https://t.co/T9aPL6G1Xw,2,2021-07-08 17:30:11
Playing today on TCM is ONCE A THIEF (1965). Alain Delon plays an ex-con trying to make a better life but things don't go as planned. I like this film and the book it was based on (which has a different ending) SCRATCH A THIEF by Zekial Marko who also wrote the screenplay. https://t.co/39USe2dq58,2,2021-07-08 17:30:09
"RT @BBMorgan_W: @VraPayne Book 1 of my YA Fantasy series, where thief Juniper enters the deadliest con of her life: posing as the crown pri…",0,2021-07-08 17:24:26
