tweets,likes,time
"Finished reading Harry Potter and the Philosopher’s Stone and Even though there is only 300+ pages, I actually have been motivated to finish it in 3 days so I’m proud of myself. Hope the reading motivation lingers and up next is The Picture of Dorian Gray",0,2021-07-08 20:35:00
"@silavm__ wuthering heights absolut!!! fav, the picture of dorian gray, a moveable feast, norwegian wood &amp; alles an shakespeare und jane austen = englische literatur",1,2021-07-08 20:33:26
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 20:30:18
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 19:47:15
"@blazE_Wvsted The alchemist 
The picture of Dorian Gray 

Divine Error 
https://t.co/vUydh8d89I",0,2021-07-08 19:39:15
"What’s a book everyone “read” in school that you didn’t, but still reference often? I’ll start- The Picture of Dorian Gray.",6,2021-07-08 19:14:18
cr: the picture of dorian gray,0,2021-07-08 19:04:03
RT @drbeard79: Oscar Wilde’s The Picture of Dorian Gray (best book cover ever!) https://t.co/lx0o86Q1Yz,0,2021-07-08 18:53:41
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 18:48:49
"Read Oscar Wilde as a junior in high school; can’t really move how much the Conceptual introduction to The Picture of Dorian Gray stayed with me and my memory. Also, we have the same birthday. I can’t get much more effete-toward-queer-male in my thoughts &amp; mannerisms. https://t.co/3FRrrQnI3t",0,2021-07-08 18:24:37
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 18:21:26
"“When one is in love, one always begins by deceiving one's self, and one always ends by deceiving others. That is what the world calls a romance.”
― Oscar Wilde, The Picture of Dorian Gray",0,2021-07-08 18:14:23
"The Picture of Dorian Gray by Oscar Wilde (1890) https://t.co/tv3NDkYqL8
#blogging",0,2021-07-08 18:01:13
"RT @deadacademics: “You will always be fond of me. I represent to you all the sins you never had the courage to commit.”

Oscar Wilde, The…",0,2021-07-08 18:00:59
"the kite runner + frankenstein hc + the picture of dorian gray = 115k 🤤

semuanya english imported kecuali dorian gray (english gramed)",0,2021-07-08 17:53:42
the picture of dorian gray https://t.co/d6KMdPrbL0,1,2021-07-08 17:43:00
RT @fraveris: The Picture of Dorian Gray (1891) Oscar Wilde https://t.co/Ab8jCmU8BB,0,2021-07-08 17:39:00
"@momopopper OOOH okay well if ur looking for classics, my faves are the picture of dorian gray by oscar wilde (..i feel like that’s obvious) and emma by jane austen! or pride and prejudice, both are very good books to ease u into classics and i think dorian gray is good to ease u into the",1,2021-07-08 17:18:20
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 17:08:33
@ The Picture of Dorian Gray,0,2021-07-08 16:34:58
Evelyn's Blog for July 2021: THE PICTURE OF DORIAN GRAY (a conversation)  https://t.co/Y0ff8Ii8AI,0,2021-07-08 16:23:24
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 16:20:43
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 16:03:08
picture of dorian gray but it’s just with each new infographic they share on ig slowly becomes crowded by a new racist thing they said in the past each time,2,2021-07-08 15:55:25
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 15:55:05
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 15:46:45
I’ve Always Suspected “The Picture of Dorian Gray” Was Based on My Life. Now I Know It Was.,61,2021-07-08 15:26:20
@pheresome How to Win Friends &amp; Influence People. The Picture of Dorian Gray after,8,2021-07-08 15:21:18
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 15:18:36
"One of the key properties of the Dorian scale is it’s symmetrical nature. This balance seems to mirror the dark/light balance of the picture and person in Wilde’s Dorian Gray, offering a strong reason why Wilde changed the initial title Phrygian gray. In this essay I will",12,2021-07-08 15:10:39
"RT @ThereseTaylor12: 'Gray was a creature of ""polished reserve"". There are many references in memoirs of the period to his mask-like counte…",0,2021-07-08 15:06:27
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 15:03:52
"@dimmiebuccs The alchemist 
The picture of Dorian Gray 

Divine Error 
https://t.co/vUydh7VwL8",0,2021-07-08 15:03:51
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 14:57:29
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 14:55:17
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 14:53:05
"republishing the picture of dorian gray and making the cover look like a best-selling toxic self-help book and calling it ""Be Gay, Do Crime""",0,2021-07-08 14:52:18
@pixiestrid The picture of dorian gray,1,2021-07-08 14:52:02
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 14:40:15
“the picture of dorian gray” is such a good book wtf,2,2021-07-08 14:33:17
"other stuff i like:
- the picture of dorian gray (for some reason)
- classic films (like, 50s)
- nbc hannibal
- mcu
- THE TROJAN WAR (FOR SOME REASON)
- 5sos, taylor swift, idkhow, måneskin, hadestown the musical

so uh. mutuals? come find me",2,2021-07-08 14:14:08
Jadi inget bagian di The Picture of Dorian Gray saat satu wanita tiba2 kehilangan ambisi dan akhirnya jadi nothing buat orang yg suka sama dia. Tanpa ambisi = mati. https://t.co/44gGlNeQDp,0,2021-07-08 14:08:09
"@AndyHessick Ah, the “Picture of Dorian Gray” power.",0,2021-07-08 14:02:25
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 14:01:06
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 13:57:28
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 13:54:42
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 13:46:01
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 13:32:57
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 13:32:06
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 13:32:00
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 13:27:15
"@HellsKitt I have like 20 books at home that I should read.. I think I want to read something in English, so probably one of the classics I still have (maybe the picture of dorian gray)",1,2021-07-08 13:14:07
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 12:55:21
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 12:53:34
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 12:47:11
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 12:43:53
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 12:39:23
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 12:37:09
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 12:34:21
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 12:34:04
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 12:27:41
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 12:22:58
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 12:22:46
@srgntsnat the picture of dorian gray :D,0,2021-07-08 12:20:31
"1.The Shadow of the Wind
2.The Bookseller of Kabul
3.The Hunger Games 
4.The Picture of Dorian Gray 
(There’s more lmaoo) https://t.co/JwqmXRshUw",6,2021-07-08 12:20:05
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 12:00:48
"@anneshrIy Hai Julie, kita melalui ini bersama ya{} 
Easily digested book ya,
Fiksi : The Picture of Dorian Gray
Non fiksi : Good habits by Habits yg ini aku baca di gramdig.",0,2021-07-08 11:58:03
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 11:46:51
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 11:41:12
RT @Buzzersplace: Angela Lansbury and Hurd Hatfield in a publicity shot for The Picture Of Dorian Gray (1945) https://t.co/kfYuih6rhK,0,2021-07-08 11:38:08
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 11:36:14
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 11:30:03
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 11:29:04
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 11:28:12
"RT @gisellestudies: @studywithndrea ini bukan buku self improvement sihhh, lebih ke classics tapi bagus juga kokk!!

- 1984 by george orwel…",0,2021-07-08 11:18:28
"“I knew nothing but shadows and I thought them to be real.”

― Oscar Wilde, 
The Picture of Dorian Gray https://t.co/zXDsCSq02A",0,2021-07-08 11:13:34
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 10:51:24
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 10:45:01
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 10:38:59
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 10:37:04
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 10:13:28
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 10:13:10
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 09:52:44
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 09:46:11
"RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…",0,2021-07-08 09:44:53
