tweets,likes,time
people really don't know achilles myth and read the song of achilles like name one hero who was happy and what has hector ever done to me just means nothing to you when you read it?,0,2021-07-09 08:38:02
"RT @lantsovsbastard: hello! i’m not new to twitter but i am to #booktwt and i’d like new moots &lt;3 my favs are
- pride &amp; prejudice 
- six of…",0,2021-07-09 08:34:39
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 08:33:11
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 08:30:47
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 08:13:14
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 08:10:51
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 08:04:13
"RT @iKissieCardan: hey guys i’m mel!! i’m 17 and my pronouns are she/her. i’m new to #booktwt and i’m looking for mutuals!

some of my favo…",0,2021-07-09 08:01:14
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 07:59:36
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 07:56:40
"@literarybase the song of achilles, cantik itu luka, they both die at the end, circe, lumiere blanche, midnight library, the things you can only see when you slow down, atomic habits. mampus banyak jg ya.....",1,2021-07-09 07:55:32
RT @meganlmaoXD: POV: it’s 2am and you just finished the song of Achilles https://t.co/f0nDfaKd3N,0,2021-07-09 07:54:06
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 07:52:47
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 07:52:11
"bdhshshs yesterday i read the song of achilles and🤧🤧🤧 that book was sooo idek it made me satisfied with the plot and the ending—
also i literally read that in 9hrs straight😳😳",0,2021-07-09 07:51:01
"@georgiareadss i cant NOT recommend the song of achilles, but apart from that lovely war by julie berry, daisy jones and the six, or the seven husbands of evelyn hugo by tjr",1,2021-07-09 07:49:29
i tried reading the song of achilles but then my eyes started uncontrollably watering and crying i hate screens,0,2021-07-09 07:47:31
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 07:47:13
"the song of achilles spoilers
.
.
.
.
.
.
.
.
.
.
.
.
.
.
i legit ,,, cant get over iphigenia's death bro it was so sudden. i was reading along with the audiobook, closed my eyes for a few seconds AND SAT UP SO FAST BC LIKE ??? DID WE MISS A FEW STEPS ????",0,2021-07-09 07:39:51
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 07:29:17
"@desecondhermit mmm oki bestie try these books:

all the light we cannot see
the book thief
the song of achilles
they both die at the end
how to make friend with the dark
the perks of a wallflower",1,2021-07-09 07:22:59
"RT @PERS4SSY: HI ! i'm new to #booktwt. rt/like this tweet to become mutuals.

i love:
PERCY JACKSON !!! (pjo, hoo, toa)
they both die at t…",0,2021-07-09 07:14:44
yeah reading the song of achilles messed me up&lt;/3 so beautifully written,0,2021-07-09 07:07:04
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 07:04:43
I'm obsessed. I love re-reading The Song of Achilles.,0,2021-07-09 07:02:50
The Song of Achilles absolutely wrecked me I feel empty,0,2021-07-09 07:02:35
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 06:54:23
RT @snowyfuxue: I did not plan to live after he was gone (The Song of Achilles - Madeline Miller) https://t.co/iyCqmrxiKM,0,2021-07-09 06:51:27
@hrtbreakfool The song of Achilles!!,1,2021-07-09 06:38:04
"@m4rleynotfound you have such good taste in books omg . idk what other kind of books you like but i enjoyed they both die at the end , the song of achilles and one of us is lying !",1,2021-07-09 06:23:04
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 06:11:13
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 06:01:20
"This book The song of Achilles is so costly, i want to buy this edition but it's above 2k",0,2021-07-09 06:01:20
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 05:58:08
"RT @99WRAITH: hello, new to #booktwt and i'm finding mutuals (hopefully). here are the list of the books i loved:

– the song of achilles
–…",0,2021-07-09 05:55:38
"i am now reading it ends with us by colleen hoover (as well as fanfic, duh) and then it is onto the song of achilles, which i have avoided reading for the past 7 months bc i am afraid of the emotional damage it’s going to leave",0,2021-07-09 05:51:11
"the song of achilles spoiler !!
-
-
-
-
‘I had embraced him too, those thin, wiry limbs. I thought, This is what Achilles will feel like when he is old. And then I remembered: he will never be old.’ 
BROOOOOO STOP HURTING ME LIKE THIS IM ONLY 17 CHAPTERS IN",0,2021-07-09 05:50:16
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 05:48:06
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 05:47:30
RT @fairytalellie: bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fan…,0,2021-07-09 05:46:36
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 05:37:59
@daybookndiaries idk i really loved the song of achilles and they both die at the end! both very sad... i also liked aftg series but its really REALLY a slowburn that one. currently reading these violent delights and i love it.,1,2021-07-09 05:36:11
@sadgayenergy did you finish the song of achilles yet we must talk about it when ur done thank u,0,2021-07-09 05:34:16
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 05:27:36
cr: the song of achilles; a thread ☁️ https://t.co/KjrJnhDJXI,2,2021-07-09 05:24:38
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 05:15:13
"@literarybase belum pernah baca kudasai, tapi the song of achilles bagus bangett🥺🥺🥺",0,2021-07-09 05:13:47
